account balance | GET /account/balance | read | none | binary
account bank create | POST /account/bank/create.json | write | none | json
account bank delete | POST /account/bank/delete.json | delete | none | json
account bank list | GET /account/bank/list.json | read | none | json
account bank list-csv | GET /account/bank/list.csv | read | none | binary
account bank list-pdf | GET /account/bank/list.pdf | read | none | binary
account bank list-xlsx | GET /account/bank/list.xlsx | read | none | binary
account bank read | GET /account/bank/read.json | read | none | json
account bank update | POST /account/bank/update.json | write | none | json
account bank update-attachments | POST /account/bank/update_attachments.json | write | none | json
account categorize | POST /account/categorize.json | write | none | json
account category create | POST /account/category/create.json | write | none | json
account category delete | POST /account/category/delete.json | delete | none | json
account category list | GET /account/category/list.json | read | none | json
account category read | GET /account/category/read.json | read | none | json
account category tree | GET /account/category/tree.json | read | none | json
account category update | POST /account/category/update.json | write | none | json
account costcenter balance | GET /account/costcenter/balance | read | none | binary
account costcenter categorize | POST /account/costcenter/categorize.json | write | none | json
account costcenter category create | POST /account/costcenter/category/create.json | write | none | json
account costcenter category delete | POST /account/costcenter/category/delete.json | delete | none | json
account costcenter category list | GET /account/costcenter/category/list.json | read | none | json
account costcenter category read | GET /account/costcenter/category/read.json | read | none | json
account costcenter category tree | GET /account/costcenter/category/tree.json | read | none | json
account costcenter category update | POST /account/costcenter/category/update.json | write | none | json
account costcenter create | POST /account/costcenter/create.json | write | none | json
account costcenter delete | POST /account/costcenter/delete.json | delete | none | json
account costcenter list | GET /account/costcenter/list.json | read | none | json
account costcenter list-csv | GET /account/costcenter/list.csv | read | none | binary
account costcenter list-pdf | GET /account/costcenter/list.pdf | read | none | binary
account costcenter list-xlsx | GET /account/costcenter/list.xlsx | read | none | binary
account costcenter read | GET /account/costcenter/read.json | read | none | json
account costcenter update | POST /account/costcenter/update.json | write | none | json
account costcenter update-attachments | POST /account/costcenter/update_attachments.json | write | none | json
account create | POST /account/create.json | write | none | json
account delete | POST /account/delete.json | delete | none | json
account list | GET /account/list.json | read | none | json
account list-csv | GET /account/list.csv | read | none | binary
account list-pdf | GET /account/list.pdf | read | none | binary
account list-xlsx | GET /account/list.xlsx | read | none | binary
account read | GET /account/read.json | read | none | json
account update | POST /account/update.json | write | none | json
account update-attachments | POST /account/update_attachments.json | write | none | json
currency create | POST /currency/create.json | write | none | json
currency delete | POST /currency/delete.json | delete | none | json
currency exchangerate | GET /currency/exchangerate | read | none | binary
currency list | GET /currency/list.json | read | none | json
currency read | GET /currency/read.json | read | none | json
currency update | POST /currency/update.json | write | none | json
customfield create | POST /customfield/create.json | write | none | json
customfield delete | POST /customfield/delete.json | delete | none | json
customfield group create | POST /customfield/group/create.json | write | none | json
customfield group delete | POST /customfield/group/delete.json | delete | none | json
customfield group list | GET /customfield/group/list.json | read | none | json
customfield group read | GET /customfield/group/read.json | read | none | json
customfield group reorder | POST /customfield/group/reorder.json | write | none | json
customfield group update | POST /customfield/group/update.json | write | none | json
customfield list | GET /customfield/list.json | read | none | json
customfield read | GET /customfield/read.json | read | none | json
customfield reorder | POST /customfield/reorder.json | write | none | json
customfield types | GET /customfield/types.json | read | none | json
customfield update | POST /customfield/update.json | write | none | json
domain current logo | GET /domain/current/logo | read | none | binary
file categorize | POST /file/categorize.json | write | none | json
file category create | POST /file/category/create.json | write | none | json
file category delete | POST /file/category/delete.json | delete | none | json
file category list | GET /file/category/list.json | read | none | json
file category read | GET /file/category/read.json | read | none | json
file category tree | GET /file/category/tree.json | read | none | json
file category update | POST /file/category/update.json | write | none | json
file create | POST /file/create.json | write | none | json
file delete | POST /file/delete.json | delete | none | json
file empty-archive | POST /file/empty_archive.json | delete | none | json
file get | GET /file/get | read | none | binary
file list | GET /file/list.json | read | start-limit | json
file list-csv | GET /file/list.csv | read | start-limit | binary
file list-pdf | GET /file/list.pdf | read | start-limit | binary
file list-xlsx | GET /file/list.xlsx | read | start-limit | binary
file persist | POST /file/persist.json | write | none | json
file prepare | POST /file/prepare.json | write | none | json
file read | GET /file/read.json | read | none | json
file restore | POST /file/restore.json | write | none | json
file update | POST /file/update.json | write | none | json
fiscalperiod bookdepreciations | POST /fiscalperiod/bookdepreciations.json | write | none | json
fiscalperiod bookexchangediff | POST /fiscalperiod/bookexchangediff.json | write | none | json
fiscalperiod complete | POST /fiscalperiod/complete.json | write | none | json
fiscalperiod complete-months | POST /fiscalperiod/complete_months.json | write | none | json
fiscalperiod create | POST /fiscalperiod/create.json | write | none | json
fiscalperiod delete | POST /fiscalperiod/delete.json | delete | none | json
fiscalperiod depreciations | GET /fiscalperiod/depreciations.json | read | none | json
fiscalperiod exchangediff | GET /fiscalperiod/exchangediff.json | read | none | json
fiscalperiod list | GET /fiscalperiod/list.json | read | none | json
fiscalperiod read | GET /fiscalperiod/read.json | read | none | json
fiscalperiod reopen | POST /fiscalperiod/reopen.json | write | none | json
fiscalperiod reopen-months | GET /fiscalperiod/reopen_months.json | read | none | json
fiscalperiod result | GET /fiscalperiod/result | read | none | binary
fiscalperiod switch | POST /fiscalperiod/switch.json | write | none | json
fiscalperiod task create | POST /fiscalperiod/task/create.json | write | none | json
fiscalperiod task delete | POST /fiscalperiod/task/delete.json | delete | none | json
fiscalperiod task list | GET /fiscalperiod/task/list.json | read | none | json
fiscalperiod update | POST /fiscalperiod/update.json | write | none | json
history list | GET /history/list.json | read | start-limit | json
inventory article categorize | POST /inventory/article/categorize.json | write | none | json
inventory article category create | POST /inventory/article/category/create.json | write | none | json
inventory article category delete | POST /inventory/article/category/delete.json | delete | none | json
inventory article category list | GET /inventory/article/category/list.json | read | none | json
inventory article category read | GET /inventory/article/category/read.json | read | none | json
inventory article category tree | GET /inventory/article/category/tree.json | read | none | json
inventory article category update | POST /inventory/article/category/update.json | write | none | json
inventory article create | POST /inventory/article/create.json | write | none | json
inventory article delete | POST /inventory/article/delete.json | delete | none | json
inventory article import create | POST /inventory/article/import/create.json | write | none | json
inventory article import execute | POST /inventory/article/import/execute.json | write | none | json
inventory article import mapping | POST /inventory/article/import/mapping.json | write | none | json
inventory article import mapping-combo | GET /inventory/article/import/mapping_combo.json | read | none | json
inventory article import preview | GET /inventory/article/import/preview.json | read | none | json
inventory article list | GET /inventory/article/list.json | read | start-limit | json
inventory article list-csv | GET /inventory/article/list.csv | read | start-limit | binary
inventory article list-pdf | GET /inventory/article/list.pdf | read | start-limit | binary
inventory article list-xlsx | GET /inventory/article/list.xlsx | read | start-limit | binary
inventory article read | GET /inventory/article/read.json | read | none | json
inventory article update | POST /inventory/article/update.json | write | none | json
inventory article update-attachments | POST /inventory/article/update_attachments.json | write | none | json
inventory asset categorize | POST /inventory/asset/categorize.json | write | none | json
inventory asset category create | POST /inventory/asset/category/create.json | write | none | json
inventory asset category delete | POST /inventory/asset/category/delete.json | delete | none | json
inventory asset category list | GET /inventory/asset/category/list.json | read | none | json
inventory asset category read | GET /inventory/asset/category/read.json | read | none | json
inventory asset category tree | GET /inventory/asset/category/tree.json | read | none | json
inventory asset category update | POST /inventory/asset/category/update.json | write | none | json
inventory asset create | POST /inventory/asset/create.json | write | none | json
inventory asset delete | POST /inventory/asset/delete.json | delete | none | json
inventory asset list | GET /inventory/asset/list.json | read | start-limit | json
inventory asset list-csv | GET /inventory/asset/list.csv | read | start-limit | binary
inventory asset list-pdf | GET /inventory/asset/list.pdf | read | start-limit | binary
inventory asset list-xlsx | GET /inventory/asset/list.xlsx | read | start-limit | binary
inventory asset read | GET /inventory/asset/read.json | read | none | json
inventory asset update | POST /inventory/asset/update.json | write | none | json
inventory asset update-attachments | POST /inventory/asset/update_attachments.json | write | none | json
inventory unit create | POST /inventory/unit/create.json | write | none | json
inventory unit delete | POST /inventory/unit/delete.json | delete | none | json
